name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Boston,2017-09-19,65.1,63,63.9,65.1,63,63.9,63.3,98,0.045,100,20.83,rain,0,0,21.9,18.1,23.4,1018.5,100,3,88.8,7.6,4,,2017-09-19T06:28:33,2017-09-19T18:46:29,0.98,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-20,72,63.1,67.1,72,63.1,67.1,65.5,94.8,0.281,100,62.5,rain,0,0,35.2,23.6,19.7,1012,88.7,4.3,70.2,6,2,,2017-09-20T06:29:37,2017-09-20T18:44:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-21,72.1,65.9,69.2,72.1,65.9,69.2,57.4,67,0,0,0,,0,0,39.5,28.3,19.2,1014.9,64.1,9.9,122.7,10.5,5,,2017-09-21T06:30:41,2017-09-21T18:42:56,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-22,65.1,57,60,65.1,57,60,56.2,87.7,0.163,100,37.5,rain,0,0,36.9,28.4,14.7,1016,85.8,6.6,133.7,11.7,4,,2017-09-22T06:31:45,2017-09-22T18:41:10,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-23,73.4,60.1,64.4,73.4,60.1,64.4,60.2,87.1,0.032,100,8.33,rain,0,0,27.7,18.1,29.5,1016.3,77.4,7.4,213.6,18.3,7,,2017-09-23T06:32:49,2017-09-23T18:39:24,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-24,79.4,60.9,69.6,79.4,60.9,69.6,62.7,80.1,0,0,0,,0,0,,7.8,89.1,1017.1,7.8,9.9,221.2,19.1,7,,2017-09-24T06:33:53,2017-09-24T18:37:38,0.14,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-25,78.4,64.9,70.1,78.4,64.9,70.1,64.7,83.9,0,0,0,,0,0,,10.2,86,1017.9,11.3,9.9,216.2,18.8,7,,2017-09-25T06:34:58,2017-09-25T18:35:52,0.17,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-26,78.4,64.2,70.5,78.4,64.2,70.5,66.9,89.1,0,0,0,,0,0,,9,122.1,1016.3,62.3,6.1,202.2,17.4,7,,2017-09-26T06:36:02,2017-09-26T18:34:06,0.21,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-27,84.9,64.9,75,90.2,64.9,76.5,69,82.7,0,0,0,,0,0,18.3,12.6,191.5,1011.8,26.7,9.9,193.1,16.5,7,,2017-09-27T06:37:07,2017-09-27T18:32:21,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-28,76.9,58.9,72.5,76.9,58.9,72.5,56.9,61.6,0,0,0,,0,0,30.9,20.4,322.4,1007,39.3,9.9,214.2,18.4,7,,2017-09-28T06:38:12,2017-09-28T18:30:36,0.27,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-29,66.8,51.8,58.6,66.8,51.8,58.6,42.2,55.9,0,0,0,,0,0,20.8,13.6,318.9,1015.2,22.2,9.9,223.9,19.5,8,,2017-09-29T06:39:18,2017-09-29T18:28:51,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-30,57.6,51,54.9,57.6,51,54.9,49.6,82.6,1.459,100,41.67,rain,0,0,36.7,17.9,44.5,1021.8,64.4,8.3,69.4,5.9,2,,2017-09-30T06:40:23,2017-09-30T18:27:06,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-01,66,47.5,55.9,66,43.1,54.6,42.2,62.5,0,0,0,,0,0,,10.1,307.7,1026.2,7.7,9.9,217.9,18.9,7,,2017-10-01T06:41:29,2017-10-01T18:25:22,0.37,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-02,65.2,50.7,58,65.2,50.7,58,45.8,64.8,0,0,0,,0,0,,14.8,33.2,1028.7,19.5,9.9,215.9,18.6,7,,2017-10-02T06:42:35,2017-10-02T18:23:37,0.4,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-03,64.3,52.6,58.3,64.3,52.6,58.3,49.3,73.2,0,0,0,,0,0,23,16.9,151,1035.8,21.5,9.9,209.7,17.9,7,,2017-10-03T06:43:41,2017-10-03T18:21:54,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-04,75.9,52.8,63.4,75.9,52.8,63.4,51.1,66.3,0,0,0,,0,0,33.3,21.5,229.2,1025.6,28.3,9.8,208.7,17.8,7,,2017-10-04T06:44:47,2017-10-04T18:20:11,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
